,compound,neg,neu,pos
0,0.9676,0.048,0.782,0.17
1,0.9384,0.069,0.783,0.148
2,0.9645,0.07,0.845,0.086
3,0.755,0.05,0.891,0.059
4,0.987,0.025,0.775,0.2
5,0.9999,0.049,0.788,0.163
6,-0.6809,0.087,0.843,0.07
7,0.9997,0.056,0.804,0.14
8,0.3164,0.042,0.903,0.055
9,0.8416,0.016,0.924,0.06
10,0.9744,0.051,0.857,0.092
11,0.9782,0.026,0.855,0.118
12,0.8957,0.089,0.807,0.104
13,0.9909,0.05,0.864,0.087
14,0.9727,0.082,0.804,0.114
15,0.9749,0.051,0.818,0.131
16,-0.9926,0.17,0.781,0.049
17,0.9928,0.028,0.889,0.083
18,0.9344,0.005,0.9,0.094
19,0.9944,0.054,0.803,0.143
20,0.9914,0.103,0.773,0.124
21,0.72,0.048,0.898,0.054
22,0.1326,0.0,0.969,0.031
23,0.1759,0.12,0.779,0.101
24,0.9961,0.074,0.801,0.124
25,0.9975,0.041,0.847,0.112
26,0.9436,0.115,0.761,0.123
27,-0.9969,0.146,0.782,0.072
28,0.9839,0.116,0.733,0.151
29,0.9887,0.122,0.737,0.141
30,0.9589,0.053,0.87,0.077
31,0.9426,0.046,0.863,0.091
32,0.9954,0.065,0.799,0.137
33,0.9727,0.035,0.883,0.081
34,0.9584,0.053,0.866,0.081
35,-0.9289,0.068,0.875,0.057
36,0.9291,0.017,0.936,0.047
37,0.5588,0.057,0.872,0.071
38,0.9905,0.055,0.865,0.08
39,0.9022,0.037,0.902,0.061
40,0.9903,0.039,0.862,0.1
41,0.996,0.034,0.856,0.11
42,0.9968,0.046,0.836,0.118
43,0.9881,0.069,0.845,0.085
44,0.9878,0.074,0.836,0.09
45,-0.9768,0.072,0.889,0.04
46,0.8658,0.0,0.938,0.062
47,-0.9684,0.138,0.825,0.037
48,-0.8007,0.093,0.827,0.08
49,0.997,0.073,0.828,0.099
50,0.9782,0.061,0.841,0.098
51,0.9559,0.012,0.895,0.093
52,0.5346,0.009,0.96,0.031
53,0.9708,0.017,0.903,0.08
54,0.9491,0.042,0.886,0.072
55,0.9533,0.015,0.88,0.106
56,0.893,0.0,0.897,0.103
57,0.9981,0.084,0.795,0.121
58,0.9802,0.027,0.868,0.105
59,0.9909,0.053,0.834,0.113
60,0.7003,0.072,0.839,0.089
61,0.9313,0.064,0.864,0.072
62,-0.6862,0.103,0.807,0.09
63,0.977,0.043,0.846,0.111
64,-0.7656,0.085,0.872,0.042
65,0.9953,0.013,0.865,0.122
66,-0.8965,0.074,0.886,0.041
67,0.9473,0.024,0.921,0.055
68,0.9787,0.07,0.814,0.117
69,-0.9555,0.121,0.776,0.103
70,0.3612,0.075,0.795,0.13
71,0.9453,0.05,0.876,0.074
72,0.4001,0.058,0.878,0.064
73,0.9875,0.022,0.862,0.116
74,0.9357,0.055,0.807,0.138
75,0.9059,0.047,0.881,0.072
76,0.9761,0.03,0.863,0.106
77,-0.6388,0.1,0.823,0.076
78,0.9926,0.065,0.804,0.132
79,0.9945,0.041,0.848,0.111
80,0.9877,0.079,0.826,0.095
81,0.9982,0.05,0.823,0.127
82,0.9965,0.033,0.85,0.117
83,0.9804,0.049,0.86,0.091
84,0.9473,0.042,0.89,0.069
85,-0.9285,0.119,0.788,0.093
86,-0.7668,0.068,0.896,0.036
87,-0.8754,0.122,0.79,0.088
88,-0.9823,0.269,0.688,0.043
89,0.9882,0.06,0.8,0.141
90,-0.25,0.049,0.951,0.0
91,-0.4678,0.046,0.954,0.0
92,0.9792,0.053,0.775,0.171
93,0.9752,0.042,0.849,0.109
94,0.0,0.0,1.0,0.0
95,0.9927,0.047,0.823,0.13
96,0.9324,0.087,0.801,0.112
97,-0.8167,0.08,0.846,0.073
98,0.9285,0.051,0.856,0.094
99,0.9837,0.039,0.885,0.076
100,0.899,0.007,0.952,0.041
101,-0.9216,0.067,0.893,0.04
102,0.9989,0.045,0.838,0.117
103,0.9975,0.059,0.84,0.101
104,0.7599,0.08,0.832,0.088
105,0.8634,0.072,0.862,0.065
106,0.9969,0.067,0.787,0.146
107,-0.7975,0.106,0.798,0.096
108,0.9855,0.052,0.84,0.108
109,-0.646,0.091,0.826,0.082
110,0.7622,0.034,0.798,0.168
111,0.9201,0.048,0.796,0.156
112,0.9917,0.079,0.774,0.147
113,-0.9874,0.1,0.84,0.059
114,0.9882,0.071,0.832,0.097
115,-0.7582,0.068,0.884,0.048
116,-0.9787,0.215,0.775,0.01
117,-0.9131,0.267,0.733,0.0
118,-0.8582,0.102,0.879,0.02
119,-0.9429,0.1,0.819,0.081
120,0.7028,0.11,0.775,0.116
121,0.8241,0.061,0.865,0.074
122,0.9655,0.051,0.865,0.084
123,-0.993,0.109,0.866,0.026
124,-0.8899,0.091,0.834,0.074
125,0.799,0.042,0.896,0.062
126,0.8441,0.041,0.897,0.062
127,0.913,0.027,0.878,0.095
128,-0.5679,0.087,0.828,0.085
129,-0.9213,0.087,0.836,0.077
130,0.8134,0.087,0.821,0.093
131,-0.9686,0.11,0.793,0.097
132,-0.9237,0.123,0.779,0.099
133,-0.9415,0.112,0.795,0.093
134,-0.9894,0.106,0.845,0.049
135,-0.4215,0.067,0.878,0.055
136,-0.9849,0.136,0.798,0.067
137,-0.9875,0.117,0.847,0.036
138,-0.995,0.113,0.859,0.027
139,0.8917,0.042,0.872,0.086
140,0.9597,0.083,0.814,0.102
141,0.9772,0.038,0.873,0.089
142,0.8377,0.052,0.804,0.144
143,0.5428,0.033,0.915,0.051
144,-0.9952,0.11,0.821,0.069
145,0.9759,0.065,0.804,0.13
146,-0.9354,0.11,0.863,0.027
147,-0.9965,0.106,0.841,0.053
148,0.9974,0.079,0.817,0.104
149,0.998,0.045,0.816,0.14
150,0.9996,0.038,0.826,0.136
151,0.9988,0.066,0.8,0.135
152,0.9885,0.024,0.854,0.122
153,0.5719,0.043,0.896,0.062
154,0.9703,0.053,0.853,0.094
155,0.967,0.013,0.874,0.112
156,0.9585,0.017,0.848,0.135
157,0.9862,0.012,0.819,0.168
158,0.976,0.044,0.864,0.092
159,-0.5941,0.097,0.813,0.09
160,-0.9981,0.112,0.828,0.061
161,-0.978,0.169,0.698,0.133
162,-0.7391,0.103,0.836,0.062
163,0.6458,0.023,0.933,0.044
164,-0.709,0.121,0.796,0.083
165,0.9905,0.076,0.802,0.122
166,0.9441,0.018,0.896,0.087
167,-0.9476,0.094,0.822,0.083
168,-0.9256,0.096,0.82,0.084
169,0.8779,0.0,0.778,0.222
170,-0.8325,0.149,0.739,0.112
171,-0.421,0.082,0.842,0.076
172,0.1124,0.113,0.777,0.11
173,-0.9091,0.141,0.837,0.021
174,-0.9974,0.169,0.74,0.091
175,0.5522,0.08,0.835,0.086
176,0.9986,0.058,0.824,0.118
177,-0.604,0.112,0.779,0.109
178,-0.8064,0.104,0.808,0.088
179,0.9748,0.044,0.869,0.087
180,-0.9951,0.097,0.848,0.055
181,0.9874,0.12,0.743,0.137
182,0.998,0.045,0.742,0.212
183,0.296,0.112,0.789,0.099
184,0.9424,0.047,0.854,0.098
185,0.8608,0.058,0.866,0.077
186,0.9936,0.033,0.804,0.163
187,0.9917,0.051,0.736,0.213
188,-0.775,0.088,0.843,0.069
189,0.7094,0.094,0.808,0.098
190,0.9972,0.037,0.849,0.114
